day,start,end,dt,act,loc
0,16.0,18.966666666666665,2.966666666666667,-1.0,0.0
0,18.966666666666665,19.683333333333334,0.7166666666666667,4.0,0.0
0,19.683333333333334,21.883333333333333,2.2,-1.0,0.0
0,21.883333333333333,7.85,9.966666666666667,6.0,0.0
1,7.85,8.116666666666667,0.26666666666666666,-1.0,0.0
1,8.116666666666667,8.333333333333334,0.21666666666666667,3.0,0.0
1,8.333333333333334,8.5,0.16666666666666666,-1.0,0.0
1,8.5,9.0,0.5,2.0,1.0
1,9.0,11.933333333333334,2.933333333333333,7.0,3.0
1,11.933333333333334,12.483333333333333,0.55,5.0,3.0
1,12.483333333333333,17.0,4.516666666666667,7.0,3.0
1,17.0,17.5,0.5,1.0,1.0
1,17.5,18.966666666666665,1.4666666666666666,-1.0,0.0
1,18.966666666666665,19.733333333333334,0.7666666666666667,4.0,0.0
1,19.733333333333334,21.666666666666668,1.9333333333333333,-1.0,0.0
1,21.666666666666668,8.033333333333333,10.366666666666667,6.0,0.0
2,8.033333333333333,8.416666666666666,0.38333333333333336,3.0,0.0
2,8.416666666666666,8.75,0.3333333333333333,-1.0,0.0
2,8.75,9.15,0.4,2.0,1.0
2,9.15,12.183333333333334,3.033333333333333,7.0,3.0
2,12.183333333333334,12.85,0.6666666666666666,5.0,3.0
2,12.85,17.033333333333335,4.183333333333334,7.0,3.0
2,17.033333333333335,17.633333333333333,0.6,1.0,1.0
2,17.633333333333333,19.05,1.4166666666666667,-1.0,0.0
2,19.05,19.766666666666666,0.7166666666666667,4.0,0.0
2,19.766666666666666,22.2,2.433333333333333,-1.0,0.0
2,22.2,7.866666666666666,9.666666666666666,6.0,0.0
3,7.866666666666666,7.883333333333334,0.016666666666666666,-1.0,0.0
3,7.883333333333334,8.1,0.21666666666666667,3.0,0.0
3,8.1,8.333333333333334,0.23333333333333334,-1.0,0.0
3,8.333333333333334,8.833333333333334,0.5,2.0,1.0
3,8.833333333333334,11.883333333333333,3.05,7.0,3.0
3,11.883333333333333,12.316666666666666,0.43333333333333335,5.0,3.0
3,12.316666666666666,16.966666666666665,4.65,7.0,3.0
3,16.966666666666665,17.566666666666666,0.6,1.0,1.0
3,17.566666666666666,18.916666666666668,1.35,-1.0,0.0
3,18.916666666666668,19.65,0.7333333333333333,4.0,0.0
3,19.65,21.733333333333334,2.0833333333333335,-1.0,0.0
3,21.733333333333334,8.266666666666667,10.533333333333333,6.0,0.0
4,8.266666666666667,8.483333333333333,0.21666666666666667,3.0,0.0
4,8.483333333333333,9.066666666666666,0.5833333333333334,2.0,1.0
4,9.066666666666666,12.116666666666667,3.05,7.0,3.0
4,12.116666666666667,12.483333333333333,0.36666666666666664,5.0,3.0
4,12.483333333333333,16.95,4.466666666666667,7.0,3.0
4,16.95,17.516666666666666,0.5666666666666667,1.0,1.0
4,17.516666666666666,19.016666666666666,1.5,-1.0,0.0
4,19.016666666666666,19.783333333333335,0.7666666666666667,4.0,0.0
4,19.783333333333335,22.0,2.216666666666667,-1.0,0.0
4,22.0,7.8,9.8,6.0,0.0
5,7.8,7.883333333333334,0.08333333333333333,-1.0,0.0
5,7.883333333333334,8.183333333333334,0.3,3.0,0.0
5,8.183333333333334,8.533333333333333,0.35,-1.0,0.0
5,8.533333333333333,9.0,0.4666666666666667,2.0,1.0
5,9.0,12.216666666666667,3.216666666666667,7.0,3.0
5,12.216666666666667,12.75,0.5333333333333333,5.0,3.0
5,12.75,17.016666666666666,4.266666666666667,7.0,3.0
5,17.016666666666666,17.45,0.43333333333333335,1.0,1.0
5,17.45,19.116666666666667,1.6666666666666667,-1.0,0.0
5,19.116666666666667,19.883333333333333,0.7666666666666667,4.0,0.0
5,19.883333333333333,21.75,1.8666666666666667,-1.0,0.0
5,21.75,8.05,10.3,6.0,0.0
6,8.05,8.15,0.1,-1.0,0.0
6,8.15,8.433333333333334,0.2833333333333333,3.0,0.0
6,8.433333333333334,11.85,3.4166666666666665,-1.0,0.0
6,11.85,12.216666666666667,0.36666666666666664,5.0,0.0
6,12.216666666666667,19.066666666666666,6.85,-1.0,0.0
6,19.066666666666666,19.816666666666666,0.75,4.0,0.0
6,19.816666666666666,21.916666666666668,2.1,-1.0,0.0
6,21.916666666666668,7.8,9.883333333333333,6.0,0.0
7,7.8,7.883333333333334,0.08333333333333333,-1.0,0.0
7,7.883333333333334,8.183333333333334,0.3,3.0,0.0
7,8.183333333333334,12.066666666666666,3.8833333333333333,-1.0,0.0
7,12.066666666666666,12.583333333333334,0.5166666666666667,5.0,0.0
7,12.583333333333334,19.083333333333332,6.5,-1.0,0.0
7,19.083333333333332,19.816666666666666,0.7333333333333333,4.0,0.0
7,19.816666666666666,22.433333333333334,2.6166666666666667,-1.0,0.0
7,22.433333333333334,24.0,1.5666666666666667,6.0,0.0
